id,name,cpu,gpu,ram,storage,psu,cabinet,price (INR)
26,Medical & Scientific Computing PC,AMD Ryzen 9 5950X,NVIDIA RTX 4080,64GB DDR4,2TB NVMe SSD,1000W,Lian Li LANCOOL III Mid-Tower,650000
27,Server & Home Lab PC,Intel Xeon Silver 4214,NVIDIA RTX 3060,64GB DDR4 ECC,2TB NVMe SSD,850W,Cooler Master HAF 700 EVO,400000
28,Server & Home Lab PC,AMD EPYC 7302,NVIDIA RTX 3070,128GB DDR4 ECC,4TB NVMe SSD,1200W,Thermaltake View 71 TG,750000
29,Financial Trading PC,Intel Core i7-12700K,NVIDIA RTX 4070,64GB DDR5,2TB NVMe SSD,850W,NZXT H510 Flow,450000
30,Financial Trading PC,AMD Ryzen 9 5900X,NVIDIA RTX 4090,128GB DDR5,4TB NVMe SSD,1200W,Fractal Design Meshify 2 XL,920000
31,Business Workstation,Intel Core i5-13600K,NVIDIA RTX 3070 Ti,32GB DDR5,2TB NVMe SSD,750W,Lian Li O11 Dynamic EVO,320000
32,Business Workstation,AMD Ryzen 5 7600,NVIDIA RTX 4060,32GB DDR5,1TB NVMe SSD,650W,Corsair 275R Airflow,250000
33,Medical & Scientific Computing PC,Intel Xeon W-2265,NVIDIA RTX A5500,128GB DDR4 ECC,4TB NVMe SSD,1200W,Thermaltake Tower 900,890000
34,Medical & Scientific Computing PC,AMD Threadripper 3990X,NVIDIA RTX A6000,128GB DDR4 ECC,8TB NVMe SSD,1500W,Corsair 1000D Super Tower,1250000
35,Server & Home Lab PC,Intel Core i9-13900F,NVIDIA RTX 4080,128GB DDR5,4TB NVMe SSD,1200W,Fractal Design North Mid-Tower,780000
36,Financial Trading PC,AMD Ryzen 7 7800X3D,NVIDIA RTX 4060 Ti,64GB DDR5,2TB NVMe SSD,850W,Cooler Master NR200P,380000
37,Business Workstation,Intel Xeon W-2400,NVIDIA RTX A5000,64GB DDR4 ECC,2TB NVMe SSD,900W,NZXT H440,480000

